ID,order_ID,product_ID,quantity,unitPrice,discount,totalPrice
7322792b-bebc-4795-8e3b-7aeeb758fc77,18665467-255e-43ff-9bd1-3dcced09ee8b,29417027-addc-4935-aea7-0754748caa1c,4,5042170.83,24,4788167.43
7322793a-ff09-4b3d-8181-5b797c558703,18665467-255e-43ff-9bd1-3dcced09ee8b,29417027-addc-4935-aea7-0754748caa1c,11,8936696.65,83,3508280.19
73227942-3d8a-48a4-ab30-55d55124a637,18665468-4df3-4f56-9922-6174152fdd91,29417027-addc-4935-aea7-0754748caa1c,14,5111597.05,6,4396389.85
73227959-616a-4c71-9ef3-996ae19e58e1,18665468-4df3-4f56-9922-6174152fdd91,29417027-addc-4935-aea7-0754748caa1c,25,3779471.53,35,4325997.74
73227963-75be-4c9a-8aae-443e4a5e1d2e,18665468-4df3-4f56-9922-6174152fdd91,29417027-addc-4935-aea7-0754748caa1c,90,9745594.83,31,5688448.53
73227978-9ffc-40d6-a1b6-5cbfda9ab24b,18665469-7cc6-4631-85bb-fd7fc1ec76a2,29417027-addc-4935-aea7-0754748caa1c,65,1356681.54,59,7410702.5
7322798a-8588-4add-894e-2bc2aa5e3e5d,18665469-7cc6-4631-85bb-fd7fc1ec76a2,29417027-addc-4935-aea7-0754748caa1c,33,5406067.81,46,2245242.06
7322799c-bd4e-420a-8eb1-1a516beb5a9d,18665470-1c4f-477f-8d1a-703057cc3a6b,29417027-addc-4935-aea7-0754748caa1c,30,6694895.98,65,2903040.9
73228005-781e-4c8d-914e-89273033db4c,18665470-1c4f-477f-8d1a-703057cc3a6b,29417027-addc-4935-aea7-0754748caa1c,48,4458186.61,96,6542161.83
73228011-56c3-4511-aaad-73cadf5a5eae,18665470-1c4f-477f-8d1a-703057cc3a6b,29417027-addc-4935-aea7-0754748caa1c,46,4865445.68,81,9936416.63
